poi_id,lat,lng,name,parking,access,capacity_osm
node/4506511893,43.2450463,141.3494687,石狩天然温泉;番屋の湯,,,
node/4541071739,43.0884715,141.2707157,屋内駐車場入口,,,
node/4588269002,43.1050485,141.3706303,タイムズ,multi-storey,,100
node/4652784976,43.113517,141.368092,三井のリパーク,multi-storey,customers,588
node/4927638321,43.0583459,141.3440232,パークネット,surface,,4
node/5052421570,43.1076282,141.3393224,タイムズ,multi-storey,,180
node/5197654290,43.0403523,141.3282054,タイムズ,,,
node/5317886923,43.058132,141.349275,サントーカーポート,surface,,
node/5417796410,43.1971109,140.9976924,,,,
node/5661791658,43.0634736,141.3557598,タイムズステーション,underground,yes,314
node/5925065844,43.0534125,141.352032,,multi-storey,,
node/5934535190,43.0090033,141.4598727,,,,
node/6017165931,43.1941736,140.9996059,アサヒパーク花園第5,surface,private,
node/6030845793,43.8082539,141.5291052,,,,
node/6308041401,43.2120676,141.008806,小樽天然温泉;湯の花手宮殿,,,
node/6308047565,43.1881826,141.016657,小樽温泉;オスパ,surface,customers,
node/6308068557,42.9497016,141.1556438,やわらぎの里;豊平峡温泉,,,
node/6308347880,43.0915479,141.5062347,江別天然温泉;湯の花江別殿,,,
node/6308388123,43.1256932,141.4154837,モエレ天然温泉;たまゆらの杜,,,
node/6308538729,43.0773518,141.3156885,湯処;花ゆづき,,,
node/6360006826,43.0911738,141.341671,タイムズ,,,
node/6423474460,43.5857798,141.4236562,浜益保養センター;はまます温泉,,,
node/6423578469,43.7741634,141.3689852,岩尾温泉;あったま〜る,,,
node/6425640539,43.1926206,140.7857337,宇宙の湯;余市川温泉,,,
node/6436452401,43.0558069,141.3486511,,,,
node/6986903904,43.0286234,141.4528513,大谷地東駐車場,,,
node/7214025494,43.058866,141.3206974,Times,multi-storey,,114
node/7918552210,43.0604574,141.3754496,セイコーマート駐車場,,,
node/8643728123,43.0844493,141.3436701,,surface,yes,10
node/8689739875,42.9936476,141.3346641,,surface,customers,
node/8948240198,43.0599037,141.357958,三井のリパーク,,yes,
node/9407570571,43.201085,141.0002541,D-Parking,surface,yes,
node/9420298640,43.1999135,140.9999198,,,customers,
node/9428408027,43.202904,140.9989415,,surface,customers,
node/9449856012,43.2324935,140.7358557,,,,
node/9462598802,43.05508,141.3435578,三井のリパーク 札幌ＳＹＯＫＵＳＡＮ駐車場,multi-storey,,130
node/9938493247,43.0703361,141.3048742,タイムズ,multi-storey,,18
node/9946402806,43.0812545,141.3055949,三井のリパーク,multi-storey,,657
node/9948316419,43.0815639,141.3038558,,,,
node/9948316424,43.0813732,141.3041235,,,,
